question_type,workerid,slide_number_in_experiment,trigger_class,block,short_trigger,trigger,content,response,rt,Answer.time_in_minutes
ai,0,5,C,block1,be_right,be_right,olivia,0.73,6487,5.767716666666667
ai,0,6,C,block1,think,think,isabella,0.77,2967,5.767716666666667
ai,0,7,C,block1,announce,announce,mia,0.85,4584,5.767716666666667
ai,0,8,C,block1,say,say,owen,0.76,6267,5.767716666666667
ai,0,9,C,block1,know,know,sophia,0.54,5280,5.767716666666667
ai,0,10,MC,block1,MC,MC,garage,0.79,3368,5.767716666666667
ai,0,11,MC,block1,MC,MC,pizza,0.73,1576,5.767716666666667
ai,0,12,C,block1,suggest,suggest,zoe,0.75,1824,5.767716666666667
ai,0,13,C,block1,see,see,tony,0.79,178500,5.767716666666667
ai,0,14,C,block1,inform,inform,julian,0.81,2104,5.767716666666667
ai,0,15,C,block1,confirm,confirm,josh,0.84,2897,5.767716666666667
ai,0,16,C,block1,be_annoyed,be_annoyed,emma,0.71,5535,5.767716666666667
ai,0,17,C,block1,demonstrate,demonstrate,jackson,0.67,4132,5.767716666666667
ai,0,18,MC,block1,MC,MC,hat,0.72,2712,5.767716666666667
ai,0,19,C,block1,discover,discover,charley,0.64,2688,5.767716666666667
ai,0,20,C,block1,reveal,reveal,jayden,0.79,2121,5.767716666666667
ai,0,21,C,block1,establish,establish,frank,0.75,2055,5.767716666666667
ai,0,22,MC,block1,MC,MC,ballet,0.74,1776,5.767716666666667
ai,0,23,C,block1,admit,admit,emily,0.79,1600,5.767716666666667
ai,0,24,C,block1,acknowledge,acknowledge,josie,0.8,1944,5.767716666666667
ai,0,25,C,block1,prove,prove,jon,0.76,1904,5.767716666666667
ai,0,26,C,block1,confess,confess,danny,0.72,1448,5.767716666666667
ai,0,27,C,block1,hear,hear,mary,0.76,1512,5.767716666666667
ai,0,28,MC,block1,MC,MC,muffins,0.74,2800,5.767716666666667
ai,0,29,C,block1,pretend,pretend,grace,0.75,1863,5.767716666666667
ai,0,30,MC,block1,MC,MC,kids,0.82,1852,5.767716666666667
projective,0,32,C,block2,acknowledge,acknowledge,josie,0.72,3303,5.767716666666667
projective,0,33,C,block2,confess,confess,danny,0.77,2144,5.767716666666667
projective,0,34,C,block2,suggest,suggest,zoe,0.73,2032,5.767716666666667
projective,0,35,C,block2,inform,inform,julian,0.63,1592,5.767716666666667
projective,0,36,C,block2,think,think,isabella,0.65,1552,5.767716666666667
projective,0,37,MC,block2,MC,MC,garage,0.69,1464,5.767716666666667
projective,0,38,MC,block2,MC,MC,pizza,0.72,1655,5.767716666666667
projective,0,39,C,block2,pretend,pretend,grace,0.72,1384,5.767716666666667
projective,0,40,C,block2,see,see,tony,0.75,2784,5.767716666666667
projective,0,41,MC,block2,MC,MC,ballet,0.72,1856,5.767716666666667
projective,0,42,C,block2,say,say,owen,0.68,1927,5.767716666666667
projective,0,43,MC,block2,MC,MC,kids,0.67,2436,5.767716666666667
projective,0,44,C,block2,be_annoyed,be_annoyed,emma,0.7,6784,5.767716666666667
projective,0,45,C,block2,demonstrate,demonstrate,jackson,0.76,6327,5.767716666666667
projective,0,46,MC,block2,MC,MC,hat,0.72,2008,5.767716666666667
projective,0,47,MC,block2,MC,MC,muffins,0.72,1464,5.767716666666667
projective,0,48,C,block2,admit,admit,emily,0.72,1535,5.767716666666667
projective,0,49,C,block2,reveal,reveal,jayden,0.62,1391,5.767716666666667
projective,0,50,C,block2,be_right,be_right,olivia,0.66,1415,5.767716666666667
projective,0,51,C,block2,confirm,confirm,josh,0.72,1784,5.767716666666667
projective,0,52,C,block2,announce,announce,mia,0.71,1511,5.767716666666667
projective,0,53,C,block2,hear,hear,mary,0.73,1693,5.767716666666667
projective,0,54,C,block2,establish,establish,frank,0.71,1535,5.767716666666667
projective,0,55,C,block2,discover,discover,charley,0.69,1551,5.767716666666667
projective,0,56,C,block2,know,know,sophia,0.71,2840,5.767716666666667
projective,0,57,C,block2,prove,prove,jon,0.79,2767,5.767716666666667
ai,1,5,C,block1,suggest,suggest,olivia,0.02,22849,7.555666666666666
ai,1,6,C,block1,prove,prove,josh,0.02,8471,7.555666666666666
