rt	stimulus	response	trial_type	trial_index	time_elapsed	internal_node_id	slider_start	accuracy	participant_id	ctime
16270	<h3>Instructions</h3>  <p style='text-align:left'>In this experiment, you will read conversations between two people, as in this example, where Candy asks a question, and Lenny responds:</p>  <p style='text-align:left'> <b>Candy</b>: <i>What about the house? Is it big? </i> <br> <b>Lenny</b>: <i> Cassandra suggested that it's huge. </i> </p>  <p style='text-align:left'>We ask you to rate how natural Lenny's answer to Candy's question is. You will give your response on a slider from 'totally unnatural' to 'totally natural'.</p>  <p style='text-align:left'>At the end of the experiment, we will ask you some optional demographic questions (age, gender, native language). The experiment will take about two minutes.</p>  <p style='text-align:left' font size=""1"">By clicking on the button below you agree to participate in this experiment, which is conducted by researchers at the University of Stuttgart. You may withdraw from this experiment at any time without penalty. The data collected will be anonymous and confidential. If you have any questions, you may contact the requester through Prolific's platform, or directly at st180735@stud.uni-stuttgart.de.</p>	0	html-button-response	0	16287	0.0-0.0	NA	NA	de2c7ee4-6ab6-4de2-ac91-cceaaa6ec9b5	2023-11-08 13:10:23 CET
13868	<b>Charlie:</b><em> What about Patricia? Why is she proud?</em><br> <b>Clare:</b><em> She said that Jackson ran 10 miles.</em> <br> <br> <br> How natural is Clare's answer to Charlie's question?	81	html-slider-response	1	30164	0.0-1.0-0.0	50	NA	de2c7ee4-6ab6-4de2-ac91-cceaaa6ec9b5	2023-11-08 13:10:23 CET
8714	<b>Leo:</b><em> What about Patrick? Why is he angry?</em><br> <b>Nina:</b><em> He discovered that Sophia got a tattoo.</em> <br> <br> <br> How natural is Nina's answer to Leo's question?	82	html-slider-response	2	38881	0.0-1.0-0.1	50	NA	de2c7ee4-6ab6-4de2-ac91-cceaaa6ec9b5	2023-11-08 13:10:23 CET
9029	<b>Oliver:</b><em> What about Emma? What did she do?</em><br> <b>Noah:</b><em> James confessed that she studied on Saturday morning.</em> <br> <br> <br> How natural is Noah's answer to Oliver's question?	10	html-slider-response	3	47915	0.0-1.0-0.2	50	NA	de2c7ee4-6ab6-4de2-ac91-cceaaa6ec9b5	2023-11-08 13:10:23 CET
7210	<b>William:</b><em> What about David? Why is he smirking?</em><br> <b>Grace:</b><em> He knows that Mia drank two cocktails last night.</em> <br> <br> <br> How natural is Grace's answer to William's question?	75	html-slider-response	4	55130	0.0-1.0-0.3	50	NA	de2c7ee4-6ab6-4de2-ac91-cceaaa6ec9b5	2023-11-08 13:10:23 CET
7695	<b>Jennifer:</b><em> What about Ann? Where did she go?</em><br> <b>Robert:</b><em> Ann, who loves travelling, went to London.</em> <br> <br> <br>How natural is Robert's answer to Jennifer's question?	69	html-slider-response	5	62831	0.0-1.0-0.4	50	NA	de2c7ee4-6ab6-4de2-ac91-cceaaa6ec9b5	2023-11-08 13:10:23 CET
8162	<b>Nora:</b><em> What about Tony? What did he do?</em><br> <b>Steven:</b><em> Jessica is right that he had a drink last night.</em> <br> <br> <br> How natural is Steven's answer to Nora's question?	23	html-slider-response	6	70998	0.0-1.0-0.5	50	NA	de2c7ee4-6ab6-4de2-ac91-cceaaa6ec9b5	2023-11-08 13:10:23 CET
6327	<b>Frank:</b><em> What about Danny? What did he do?</em><br> <b>Daniel:</b><em> Linda thinks that he ate the last cupcake.</em> <br> <br> <br> How natural is Daniel's answer to Frank's question?	80	html-slider-response	7	77331	0.0-1.0-0.6	50	NA	de2c7ee4-6ab6-4de2-ac91-cceaaa6ec9b5	2023-11-08 13:10:23 CET
5563	<b>Mary:</b><em> Do these muffins have blueberries in them?</em><br> <b>John:</b><em> Linda claimed that she likes drinking coffee.</em> <br> <br> <br>How natural is John's answer to Mary's question?	0	html-slider-response	8	82899	0.0-1.0-0.7	50	NA	de2c7ee4-6ab6-4de2-ac91-cceaaa6ec9b5	2023-11-08 13:10:23 CET
7256	<b>Michael:</b><em> What about Samantha? What did she buy? </em><br> <b>Elizabeth:</b><em> Samantha, who is really into fashion, bought a new hat.</em> <br> <br> <br>How natural is Elizabeth's answer to Michael's question?	80	html-slider-response	9	90159	0.0-1.0-0.8	50	NA	de2c7ee4-6ab6-4de2-ac91-cceaaa6ec9b5	2023-11-08 13:10:23 CET
5832	<b>Richard:</b><em> What about John's kids? Are they in the garage?</em><br> <b>Susan:</b><em> Linda claimed that John's kids are good at math. </em> <br> <br> <br>How natural is Susan's answer to Richard's question?	0	html-slider-response	10	95995	0.0-1.0-0.9	50	NA	de2c7ee4-6ab6-4de2-ac91-cceaaa6ec9b5	2023-11-08 13:10:23 CET
17857	NA	{""P0_Q0"":null,""age"":""43"",""gender"":""male"",""language"":""yes"",""amE"":""yes"",""comments"":""""}	survey	11	114007	0.0-2.0	NA	[]	de2c7ee4-6ab6-4de2-ac91-cceaaa6ec9b5	2023-11-08 13:10:23 CET
