workerid,proliferate.condition,age,american,comments,gender,language,error
1585,default,31,Yes,,Male,English/Spanish,
1514,default,23,Yes,,Female,English,
1633,default,20,Yes,,Female,english,
1484,default,21,Yes,,Female,English,
1603,default,20,Yes,,Female,English,
1557,default,22,Yes,,Female,English,
1536,default,35,Yes,,Female,english,
1666,default,18,Yes,,Female,English,
1559,default,18,Yes,,Female,English,
1483,default,20,Yes,,Female,English,
1708,default,23,Yes,,Female,english,
1580,default,38,Yes,,Male,english,
1720,default,23,Yes,I felt iffy about some statements in the first half of the study. ,Female,English ,
1661,default,22,Yes,,Female,English,
1545,default,21,Yes,,Female,english,
1657,default,19,Yes,,Female,English,
1553,default,21,Yes,n/a,Female,english,
1663,default,18,Yes,,Other,English,
1546,default,18,Yes,N/A,Female,English,
1713,default,23,Yes,,Male,English,
1649,default,19,Yes,,Female,Korean,
1709,default,24,Yes,,Female,English,
1485,default,27,Yes,Thank you for the grammar exercise :),Female,English,
1502,default,23,Yes,,Female,English,
1494,default,37,Yes,This was harder than I thought. Lack of inflection in the written words made it harder to determine the goal of the questioner.,Female,English,
1495,default,21,No,,Male,English (Home Spanish),
1554,default,41,Yes,This survey is very interesting. ,Male,English,
1564,default,18,Yes,,Female,English,
1466,default,46,Yes,,Female,English,
1690,default,19,Yes,,Female,English,
1702,default,25,Yes,Thank you for hosting this survey.,Male,English,
1550,default,19,Yes,,Female,english,
1598,default,31,Yes,,Female,English,
1544,default,24,Yes,,Female,english,
1668,default,22,Yes,,Female,English,
1560,default,19,Yes,,Female,English ,
1695,default,25,Yes,,Male,english,
1682,default,42,Yes,,Female,English,
1699,default,20,Yes,n/a,Female,english,
1681,default,43,Yes,,Female,English,
1490,default,38,Yes,it as improve my question tag,Female,English,
1648,default,20,Yes,,Female,English,
1541,default,24,Yes,,Female,English,
1596,default,28,Yes,,Female,English,
1686,default,32,Yes,The question/answer format seemed repetitive.,Male,English,
1534,default,19,Yes,,Female,English,
1492,default,21,Yes,,Female,English,
1634,default,46,Yes,Thank you.,Male,English,
1640,default,22,Yes,,Female,English,
1569,default,19,Yes,,Female,English,
1627,default,21,Yes,,Female,English,
1503,default,22,Yes,,Female,English,
1711,default,25,Yes,,Male,English,
1558,default,29,Yes,,Female,English,
1499,default,28,Yes,,Female,English,
1520,default,26,Yes,,Female,English,
1472,default,33,Yes,n/a,Female,English,
1480,default,18,Yes,,Female,English,
1516,default,22,Yes,,Female,English,
1632,default,19,Yes,,Female,english,
1506,default,21,Yes,,Female,English,
1721,default,26,Yes,"Ouch, my brain hurts after this. I'm curious to what you are studying it this survey. Also I feel like some of these statements and questions can go either way depending on the connotation behind it.",Female,English,
1700,default,25,Yes,,Female,English,
1643,default,33,Yes,,Male,English,
1584,default,19,Yes,,Female,English,
1662,default,19,Yes,,Female,English ,
1606,default,20,Yes,,Female,english,
1688,default,24,Yes,,Female,English,
1616,default,24,Yes,,Female,english,
1522,default,22,Yes,,Male,English,
1613,default,37,Yes,,Female,English,
1644,default,24,Yes,,Female,English,
1612,default,28,Yes,,Male,English,
1529,default,31,Yes,,Female,English,
1578,default,32,Yes,,Male,English,
1589,default,19,Yes,,Female,English,
1512,default,22,Yes,,Female,English,
1542,default,30,Yes,,Other,English,
1501,default,21,Yes,,Female,English,
1481,default,26,Yes,,Female,English,
1645,default,18,Yes,,Female,English,
1601,default,22,Yes,,Female,English,
1669,default,21,Yes,,Female,English,
1538,default,18,Yes,,Other,English,
1513,default,23,Yes,,Female,English,
1508,default,58,Yes,Interesting. I was surprised by some questions about how my perspective changed when someone replied to the question versus when I needed to make a judgment without the reply.  ,Male,english,
1692,default,20,Yes,none,Female,English,
1641,default,20,Yes,"while reading through the statements, it took me a second to really process what was being said!",Female,English,
1656,default,32,Yes,,Female,english,
1710,default,24,Yes,,Female,english,
1706,default,19,Yes,,Female,English,
1693,default,23,Yes,,Male,English,
1521,default,19,Yes,,Female,English,
1697,default,21,Yes,,Female,English,
1626,default,25,Yes,,Female,English,
1658,default,22,Yes,,Female,English,
1722,default,21,Yes,,Female,English,
1673,default,25,Yes,,Female,English,
1592,default,26,Yes,,Female,English,
1491,default,25,Yes,Easy to understand,Female,English,
1561,default,24,Yes,,Female,English,
1622,default,21,Yes,,Female,English ,
1523,default,22,Yes,some of the questions were a bit confusing,Female,english,
1581,default,21,Yes,,Male,English,
1479,default,22,Yes,,Female,English,
1525,default,22,Yes,,Male,English,
1630,default,24,Yes,,Female,English,
1679,default,26,Yes,,Female,English,
1703,default,29,Yes,,Female,english,
1691,default,23,Yes,,Female,English,
1573,default,30,Yes,,Female,English ,
1660,default,19,Yes,,Female,English,
1670,default,25,Yes,none,Male,english,
1532,default,18,Yes,I found this experiment very interesting and difficult to complete without intonation that comes with speech for emphasis on certain words. There were implications of what the intonations were (or I  assumed what was meant to be emphasized). ,Female,English,
1496,default,22,Yes,,Female,English,
1543,default,28,Yes,,Female,English,
1609,default,24,Yes,,Female,English,
1548,default,25,Yes,,Female,English,
1718,default,41,Yes,It is very important study. Thank you.,Male,English,
1602,default,18,Yes,,Other,English,
1655,default,30,,NA,Female,english,
1471,default,28,Yes,Interesting to see read comments structured like that as a native English speaker. Feels like it twisted my brain.,Male,English,
1608,default,27,Yes,,Male,English,
1694,default,20,Yes,,Female,Engligh,
1639,default,18,Yes,,Female,English,
1651,default,19,Yes,,Female,English,
1590,default,20,Yes,,Male,English,
1636,default,20,Yes,N/A,Female,English,
1625,default,34,Yes,,Female,English,
1498,default,20,Yes,,Female,English ,
1487,default,31,Yes,,Female,English,
1684,default,23,Yes,,Female,english,
1591,default,23,Yes,,Female,english,
1470,default,45,Yes,I am filling this chapter for ease. I had no difficulty in finishing the study. I was completely attentive while doing this chapter. I am very happy to study this.,Male,english,
1653,default,19,Yes,,Female,English,
1524,default,23,Yes,"I think that choosing a ""yes/no button"" would have been more effective for the experiment than using a slider.",Female,English,
1629,default,22,Yes,None,Female,English,
1696,default,22,Yes,,Female,English,
1675,default,26,Yes,,Female,English,
1488,default,21,Yes,,Female,English,
1530,default,31,Yes,,Female,English,
1659,default,23,Yes,,Female,English,
1654,default,33,Yes,,Female,English,
1571,default,26,Yes,,Female,English,
1526,default,22,Yes,,Female,english,
1562,default,28,Yes,,Female,english,
1646,default,22,Yes,,Other,"English, Farsi",
1705,default,31,Yes,,Female,English,
1505,default,19,Yes,,Female,English,
1563,default,28,Yes,,Male,English,
1507,default,21,Yes,,Female,english,
1517,default,46,No,,Male,english,
1469,default,19,Yes,,Female,English,
1567,default,21,Yes,,Female,English,
1605,default,22,Yes,,Female,English,
1716,default,19,Yes,N/A,Female,English,
1619,default,18,Yes,,Female,English,
1473,default,22,Yes,,Female,English,
1497,default,19,Yes,,Female,English,
1515,default,26,Yes,Very interesting and fun! Definitely got my brain working. Thank you.  ,Female,Armenian & English,
1672,default,21,Yes,,Female,English,
1594,default,18,Yes,,Female,English,
1677,default,20,Yes,,Female,English,
1509,default,19,Yes,,Female,English,
1549,default,21,Yes,,Female,English,
1620,default,24,Yes,,Female,English,
1610,default,21,Yes,,Female,ENGLISH,
1527,default,26,Yes,,Female,English,
1689,default,20,Yes,,Female,Enlish,
1528,default,20,Yes,,Female,English,
1577,default,31,Yes,,Female,English,
1597,default,25,Yes,none,Male,English,
1551,default,54,Yes,,Male,English,
1719,default,22,Yes,,Female,English,
1540,default,27,Yes,,Female,English,
1575,default,24,Yes,,Female,English,
1647,default,20,Yes,,Female,english,
1588,default,19,Yes,,Female,English,
1555,default,39,Yes,,Male,English,
1477,default,19,Yes,,Male,"Thai, English",
1717,default,40,No,No,Male,English,
1510,default,36,Yes,,Female,English,
1570,default,37,Yes,"A lot of sentences were ambiguous. The asker could be asking for confirmation that X person did Y thing. If that were the case, it's not really crucial if Q can verify it; the answerer can assert that they witnessed/verified the action.

Example:
John: Did Mary, Alex's wife, suggest Alex is cheating?
Danielle: Alex is cheating.

John could be curious if the cheating accusation is real. He could be asking if his wife ever brought it up. Danielle could be confirming the act without confirming Mary's suspicion of it.",Female,English,
1552,default,23,Yes,,Female,English,
1493,default,32,Yes,no,Female,english,
1504,default,28,Yes,,Other,English,
1593,default,26,Yes,,Female,English,
1667,default,19,Yes,Thank you for the hard work.,Male,English,
1712,default,21,Yes,,Female,english,
1678,default,35,Yes,,Male,English,
1715,default,37,Yes,"Interesting survey! I had to think for a second about some of them. I might not be representative of the ""typical"" sample, though, because sometimes I have trouble with theory of mind concepts (nonverbal learning disorder diagnosis).",Female,English,
1685,default,21,Yes,,Female,English,
1674,default,26,Yes,,Female,English,
1628,default,19,Yes,"Some of the questions were worded oddly, which I think was the purpose of this study. ",Female,English,
1604,default,24,Yes,,Female,English,
1467,default,28,Yes,,Female,English ,
1680,default,44,Yes,,Female,English,
1611,default,24,Yes,No comment,Female,English,
1583,default,22,Yes,,Female,English ,
1539,default,23,Yes,,Female,English,
1482,default,37,Yes,,Female,English,
