rt,response,trial_type,trial_index,time_elapsed,internal_node_id,correct,stimulus,slider_start,accuracy,participant_id,ctime
11538,"{""Q0"":""patricia""}",survey-text,0,11545,0.0-0.0-0.0,TRUE,NA,NA,NA,47bbdd72-d60c-4d98-bbcf-284d4712ac5b,2024-07-19 15:02:36 CEST
1593,0,html-button-response,1,13141,0.0-0.0-3.0-0.0,NA,<p style='text-align:left'><b> Correct response! You are a human :) </b><br><br></p>,NA,NA,47bbdd72-d60c-4d98-bbcf-284d4712ac5b,2024-07-19 15:02:36 CEST
3011,0,html-button-response,2,16154,0.0-1.0,NA,"<h3>Instructions</h3>  <p style='text-align:left'>In this experiment, you will read nine questions asked by a speaker, as in this example, where Candy asks a question.</p>  <p style='text-align:left'> <b>Candy</b>: <i>Did Cassandra suggest that the house is big? </i> </p>  <p style='text-align:left'> We then ask you to judge what the speaker is asking about, for example: </p>  <p style='text-align:left'> Is Candy asking whether the house is big? </p>  <p style='text-align:left'>You give your response on a slider marked 'no' at one end and 'yes' at the other.</p>  <p style='text-align:left'>This experiment will take around 2 minutes, and you will be paid 40 cents.</p>  <p style='text-align:left' font size=""1"">By clicking on the button below, you agree to participate in this experiment, which is conducted by researchers at the University of Stuttgart. You may withdraw from this experiment at any time. The data collected will be anonymous and confidential. If you have any questions, you may contact the requester through Prolific's platform, or directly at st180735@stud.uni-stuttgart.de.</p>",NA,NA,47bbdd72-d60c-4d98-bbcf-284d4712ac5b,2024-07-19 15:02:36 CEST
15006,88,html-slider-response,3,31163,0.0-2.0-0.0,NA,<b>Steven:</b><em>  Did Sophia confess that Jack saw the murder?</em> <br> <br> Is Steven asking whether Jack saw the murder?,50,NA,47bbdd72-d60c-4d98-bbcf-284d4712ac5b,2024-07-19 15:02:36 CEST
5449,0,html-slider-response,4,36614,0.0-2.0-0.1,NA,<b>Robert:</b><em> Does Betsy have a cat?</em> <br> <br> Is Robert asking whether Betsy loves apples?,50,NA,47bbdd72-d60c-4d98-bbcf-284d4712ac5b,2024-07-19 15:02:36 CEST
9855,100,html-slider-response,5,46471,0.0-2.0-0.2,NA,<b>Mary:</b><em> Did Arthur take a French course?</em> <br> <br> Is Mary asking whether Arthur took a French course?,50,NA,47bbdd72-d60c-4d98-bbcf-284d4712ac5b,2024-07-19 15:02:36 CEST
7950,9,html-slider-response,6,54422,0.0-2.0-0.3,NA,"<b>Bob:</b><em> Did Lucy, who broke the plate, apologize?</em> <br> <br> Is Bob asking whether Lucy broke the plate?",50,NA,47bbdd72-d60c-4d98-bbcf-284d4712ac5b,2024-07-19 15:02:36 CEST
5434,95,html-slider-response,7,59858,0.0-2.0-0.4,NA,<b>William:</b><em>  Did Linda discover that Danny ate the last cupcake?</em> <br> <br> Is William asking whether Danny ate the last cupcake?,50,NA,47bbdd72-d60c-4d98-bbcf-284d4712ac5b,2024-07-19 15:02:36 CEST
7738,80,html-slider-response,8,67598,0.0-2.0-0.5,NA,<b>Ken:</b><em>  Is Emma right that Raul cheated on his wife?</em> <br> <br> Is Ken asking whether Raul cheated on his wife?,50,NA,47bbdd72-d60c-4d98-bbcf-284d4712ac5b,2024-07-19 15:02:36 CEST
9287,37,html-slider-response,9,76887,0.0-2.0-0.6,NA,<b>Nora:</b><em>  Does Patricia know that Dustin lost his key?</em> <br> <br> Is Nora asking whether Dustin lost his key?,50,NA,47bbdd72-d60c-4d98-bbcf-284d4712ac5b,2024-07-19 15:02:36 CEST
6808,50,html-slider-response,10,83697,0.0-2.0-0.7,NA,<b>Grace:</b><em>  Did David confirm that Ann stole the money?</em> <br> <br> Is Grace asking whether Ann stole the money?,50,NA,47bbdd72-d60c-4d98-bbcf-284d4712ac5b,2024-07-19 15:02:36 CEST
5566,16,html-slider-response,11,89264,0.0-2.0-0.8,NA,"<b>Vincent:</b><em> Does the neighbor envy Greg, who bought a new car?</em> <br> <br> Is Vincent asking whether Greg bought a new car?",50,NA,47bbdd72-d60c-4d98-bbcf-284d4712ac5b,2024-07-19 15:02:36 CEST
11019,"{""P0_Q0"":null,""age"":""46"",""gender"":""male"",""language"":""yes"",""amE"":""yes"",""comments"":""""}",survey,12,100326,0.0-3.0,NA,NA,NA,[],47bbdd72-d60c-4d98-bbcf-284d4712ac5b,2024-07-19 15:02:36 CEST
9533,"{""Q0"":""Sarah""}",survey-text,0,9620,0.0-0.0-0.0,TRUE,NA,NA,NA,ef2a8910-b03d-427e-a374-70f63dac2cc1,2024-07-19 15:10:50 CEST
1231,0,html-button-response,1,10856,0.0-0.0-3.0-0.0,NA,<p style='text-align:left'><b> Correct response! You are a human :) </b><br><br></p>,NA,NA,ef2a8910-b03d-427e-a374-70f63dac2cc1,2024-07-19 15:10:50 CEST
6887,0,html-button-response,2,17745,0.0-1.0,NA,"<h3>Instructions</h3>  <p style='text-align:left'>In this experiment, you will read nine questions asked by a speaker, as in this example, where Candy asks a question.</p>  <p style='text-align:left'> <b>Candy</b>: <i>Did Cassandra suggest that the house is big? </i> </p>  <p style='text-align:left'> We then ask you to judge what the speaker is asking about, for example: </p>  <p style='text-align:left'> Is Candy asking whether the house is big? </p>  <p style='text-align:left'>You give your response on a slider marked 'no' at one end and 'yes' at the other.</p>  <p style='text-align:left'>This experiment will take around 2 minutes, and you will be paid 40 cents.</p>  <p style='text-align:left' font size=""1"">By clicking on the button below, you agree to participate in this experiment, which is conducted by researchers at the University of Stuttgart. You may withdraw from this experiment at any time. The data collected will be anonymous and confidential. If you have any questions, you may contact the requester through Prolific's platform, or directly at st180735@stud.uni-stuttgart.de.</p>",NA,NA,ef2a8910-b03d-427e-a374-70f63dac2cc1,2024-07-19 15:10:50 CEST
10671,100,html-slider-response,3,28418,0.0-2.0-0.0,NA,<b>Isabel:</b><em>  Did Mia confirm that Greg bought a new car?</em> <br> <br> Is Isabel asking whether Greg bought a new car?,50,NA,ef2a8910-b03d-427e-a374-70f63dac2cc1,2024-07-19 15:10:50 CEST
5940,100,html-slider-response,4,34360,0.0-2.0-0.1,NA,<b>Charlotte:</b><em>  Did Sophia discover that Jack saw the murder?</em> <br> <br> Is Charlotte asking whether Jack saw the murder?,50,NA,ef2a8910-b03d-427e-a374-70f63dac2cc1,2024-07-19 15:10:50 CEST
6558,0,html-slider-response,5,40920,0.0-2.0-0.2,NA,<b>Robert:</b><em> Does Betsy have a cat?</em> <br> <br> Is Robert asking whether Betsy loves apples?,50,NA,ef2a8910-b03d-427e-a374-70f63dac2cc1,2024-07-19 15:10:50 CEST
5156,0,html-slider-response,6,46078,0.0-2.0-0.3,NA,"<b>Steven:</b><em> Was Ann, who stole the money, caught by the police?</em> <br> <br> Is Steven asking whether Ann stole the money?",50,NA,ef2a8910-b03d-427e-a374-70f63dac2cc1,2024-07-19 15:10:50 CEST
4870,0,html-slider-response,7,50950,0.0-2.0-0.4,NA,"<b>Nina:</b><em> Did the boss condemn Dustin, who lost his key?</em> <br> <br> Is Nina asking whether Dustin lost his key?",50,NA,ef2a8910-b03d-427e-a374-70f63dac2cc1,2024-07-19 15:10:50 CEST
7490,0,html-slider-response,8,58442,0.0-2.0-0.5,NA,<b>Alice:</b><em>  Did Tony confess that Lucy broke the plate?</em> <br> <br> Is Alice asking whether Lucy broke the plate?,50,NA,ef2a8910-b03d-427e-a374-70f63dac2cc1,2024-07-19 15:10:50 CEST
5519,100,html-slider-response,9,63963,0.0-2.0-0.6,NA,<b>Mary:</b><em> Did Arthur take a French course?</em> <br> <br> Is Mary asking whether Arthur took a French course?,50,NA,ef2a8910-b03d-427e-a374-70f63dac2cc1,2024-07-19 15:10:50 CEST
4912,100,html-slider-response,10,68878,0.0-2.0-0.7,NA,<b>Charlie:</b><em>  Is Emma right that Raul cheated on his wife?</em> <br> <br> Is Charlie asking whether Raul cheated on his wife?,50,NA,ef2a8910-b03d-427e-a374-70f63dac2cc1,2024-07-19 15:10:50 CEST
6360,0,html-slider-response,11,75239,0.0-2.0-0.8,NA,<b>Frank:</b><em>  Does Linda know that Danny ate the last cupcake?</em> <br> <br> Is Frank asking whether Danny ate the last cupcake?,50,NA,ef2a8910-b03d-427e-a374-70f63dac2cc1,2024-07-19 15:10:50 CEST
9345,"{""P0_Q0"":null,""age"":""22"",""gender"":""prefer not to say"",""language"":""yes"",""amE"":""yes"",""comments"":""""}",survey,12,84676,0.0-3.0,NA,NA,NA,[],ef2a8910-b03d-427e-a374-70f63dac2cc1,2024-07-19 15:10:50 CEST
6987,"{""Q0"":""Patricia""}",survey-text,0,6999,0.0-0.0-0.0,TRUE,NA,NA,NA,dacd7fed-285e-43df-a4d1-d99d09af9101,2024-07-19 15:11:39 CEST
905,0,html-button-response,1,7905,0.0-0.0-3.0-0.0,NA,<p style='text-align:left'><b> Correct response! You are a human :) </b><br><br></p>,NA,NA,dacd7fed-285e-43df-a4d1-d99d09af9101,2024-07-19 15:11:39 CEST
14523,0,html-button-response,2,22429,0.0-1.0,NA,"<h3>Instructions</h3>  <p style='text-align:left'>In this experiment, you will read nine questions asked by a speaker, as in this example, where Candy asks a question.</p>  <p style='text-align:left'> <b>Candy</b>: <i>Did Cassandra suggest that the house is big? </i> </p>  <p style='text-align:left'> We then ask you to judge what the speaker is asking about, for example: </p>  <p style='text-align:left'> Is Candy asking whether the house is big? </p>  <p style='text-align:left'>You give your response on a slider marked 'no' at one end and 'yes' at the other.</p>  <p style='text-align:left'>This experiment will take around 2 minutes, and you will be paid 40 cents.</p>  <p style='text-align:left' font size=""1"">By clicking on the button below, you agree to participate in this experiment, which is conducted by researchers at the University of Stuttgart. You may withdraw from this experiment at any time. The data collected will be anonymous and confidential. If you have any questions, you may contact the requester through Prolific's platform, or directly at st180735@stud.uni-stuttgart.de.</p>",NA,NA,dacd7fed-285e-43df-a4d1-d99d09af9101,2024-07-19 15:11:39 CEST
8981,0,html-slider-response,3,31411,0.0-2.0-0.0,NA,"<b>Noah:</b><em> Did Jack, who saw the murder, run away?</em> <br> <br> Is Noah asking whether Jack saw the murder?",50,NA,dacd7fed-285e-43df-a4d1-d99d09af9101,2024-07-19 15:11:39 CEST
6109,100,html-slider-response,4,37520,0.0-2.0-0.1,NA,<b>Mary:</b><em> Did Arthur take a French course?</em> <br> <br> Is Mary asking whether Arthur took a French course?,50,NA,dacd7fed-285e-43df-a4d1-d99d09af9101,2024-07-19 15:11:39 CEST
7265,0,html-slider-response,5,44787,0.0-2.0-0.2,NA,<b>Nina:</b><em>  Does David know that Ann stole the money?</em> <br> <br> Is Nina asking whether Ann stole the money?,50,NA,dacd7fed-285e-43df-a4d1-d99d09af9101,2024-07-19 15:11:39 CEST
7030,100,html-slider-response,6,51818,0.0-2.0-0.3,NA,<b>William:</b><em>  Did Tony confirm that Lucy broke the plate?</em> <br> <br> Is William asking whether Lucy broke the plate?,50,NA,dacd7fed-285e-43df-a4d1-d99d09af9101,2024-07-19 15:11:39 CEST
4573,0,html-slider-response,7,56392,0.0-2.0-0.4,NA,<b>Robert:</b><em> Does Betsy have a cat?</em> <br> <br> Is Robert asking whether Betsy loves apples?,50,NA,dacd7fed-285e-43df-a4d1-d99d09af9101,2024-07-19 15:11:39 CEST
7737,100,html-slider-response,8,64129,0.0-2.0-0.5,NA,<b>Isabel:</b><em>  Is Mia right that Greg bought a new car?</em> <br> <br> Is Isabel asking whether Greg bought a new car?,50,NA,dacd7fed-285e-43df-a4d1-d99d09af9101,2024-07-19 15:11:39 CEST
6959,0,html-slider-response,9,71089,0.0-2.0-0.6,NA,<b>Oliver:</b><em>  Did Patricia discover that Dustin lost his key?</em> <br> <br> Is Oliver asking whether Dustin lost his key?,50,NA,dacd7fed-285e-43df-a4d1-d99d09af9101,2024-07-19 15:11:39 CEST
11054,28,html-slider-response,10,82144,0.0-2.0-0.7,NA,<b>Steven:</b><em>  Did Linda confess that Danny ate the last cupcake?</em> <br> <br> Is Steven asking whether Danny ate the last cupcake?,50,NA,dacd7fed-285e-43df-a4d1-d99d09af9101,2024-07-19 15:11:39 CEST
5345,0,html-slider-response,11,87489,0.0-2.0-0.8,NA,"<b>Charlotte:</b><em> Did Ann criticize Raul, who cheated on his wife?</em> <br> <br> Is Charlotte asking whether Raul cheated on his wife?",50,NA,dacd7fed-285e-43df-a4d1-d99d09af9101,2024-07-19 15:11:39 CEST
10939,"{""P0_Q0"":null,""age"":""38"",""gender"":""female"",""language"":""yes"",""amE"":""yes"",""comments"":""None""}",survey,12,98462,0.0-3.0,NA,NA,NA,[],dacd7fed-285e-43df-a4d1-d99d09af9101,2024-07-19 15:11:39 CEST
9754,"{""Q0"":""Jennifer""}",survey-text,0,9793,0.0-0.0-0.0,TRUE,NA,NA,NA,0314903f-827c-4635-8656-bef690dba21c,2024-07-19 15:12:01 CEST
1919,0,html-button-response,1,11716,0.0-0.0-3.0-0.0,NA,<p style='text-align:left'><b> Correct response! You are a human :) </b><br><br></p>,NA,NA,0314903f-827c-4635-8656-bef690dba21c,2024-07-19 15:12:01 CEST
13413,0,html-button-response,2,25132,0.0-1.0,NA,"<h3>Instructions</h3>  <p style='text-align:left'>In this experiment, you will read nine questions asked by a speaker, as in this example, where Candy asks a question.</p>  <p style='text-align:left'> <b>Candy</b>: <i>Did Cassandra suggest that the house is big? </i> </p>  <p style='text-align:left'> We then ask you to judge what the speaker is asking about, for example: </p>  <p style='text-align:left'> Is Candy asking whether the house is big? </p>  <p style='text-align:left'>You give your response on a slider marked 'no' at one end and 'yes' at the other.</p>  <p style='text-align:left'>This experiment will take around 2 minutes, and you will be paid 40 cents.</p>  <p style='text-align:left' font size=""1"">By clicking on the button below, you agree to participate in this experiment, which is conducted by researchers at the University of Stuttgart. You may withdraw from this experiment at any time. The data collected will be anonymous and confidential. If you have any questions, you may contact the requester through Prolific's platform, or directly at st180735@stud.uni-stuttgart.de.</p>",NA,NA,0314903f-827c-4635-8656-bef690dba21c,2024-07-19 15:12:01 CEST
14882,0,html-slider-response,3,40020,0.0-2.0-0.0,NA,<b>Chloe:</b><em>  Did Patricia confirm that Dustin lost his key?</em> <br> <br> Is Chloe asking whether Dustin lost his key?,50,NA,0314903f-827c-4635-8656-bef690dba21c,2024-07-19 15:12:01 CEST
23120,100,html-slider-response,4,63149,0.0-2.0-0.1,NA,<b>Frank:</b><em>  Is Emma right that Raul cheated on his wife?</em> <br> <br> Is Frank asking whether Raul cheated on his wife?,50,NA,0314903f-827c-4635-8656-bef690dba21c,2024-07-19 15:12:01 CEST
5471,0,html-slider-response,5,68624,0.0-2.0-0.2,NA,<b>Robert:</b><em> Does Betsy have a cat?</em> <br> <br> Is Robert asking whether Betsy loves apples?,50,NA,0314903f-827c-4635-8656-bef690dba21c,2024-07-19 15:12:01 CEST
8078,0,html-slider-response,6,76706,0.0-2.0-0.3,NA,<b>Alice:</b><em>  Does Mia know that Greg bought a new car?</em> <br> <br> Is Alice asking whether Greg bought a new car?,50,NA,0314903f-827c-4635-8656-bef690dba21c,2024-07-19 15:12:01 CEST
12489,0,html-slider-response,7,89198,0.0-2.0-0.4,NA,"<b>Charlotte:</b><em> Did Jack, who saw the murder, run away?</em> <br> <br> Is Charlotte asking whether Jack saw the murder?",50,NA,0314903f-827c-4635-8656-bef690dba21c,2024-07-19 15:12:01 CEST
58039,0,html-slider-response,8,147241,0.0-2.0-0.5,NA,<b>Nina:</b><em>  Did Linda confess that Danny ate the last cupcake?</em> <br> <br> Is Nina asking whether Danny ate the last cupcake?,50,NA,0314903f-827c-4635-8656-bef690dba21c,2024-07-19 15:12:01 CEST
8090,0,html-slider-response,9,155336,0.0-2.0-0.6,NA,"<b>Oliver:</b><em> Did the manager report Ann, who stole the money?</em> <br> <br> Is Oliver asking whether Ann stole the money?",50,NA,0314903f-827c-4635-8656-bef690dba21c,2024-07-19 15:12:01 CEST
35404,100,html-slider-response,10,190744,0.0-2.0-0.7,NA,<b>Mary:</b><em> Did Arthur take a French course?</em> <br> <br> Is Mary asking whether Arthur took a French course?,50,NA,0314903f-827c-4635-8656-bef690dba21c,2024-07-19 15:12:01 CEST
7714,0,html-slider-response,11,198461,0.0-2.0-0.8,NA,<b>Ken:</b><em>  Did Tony discover that Lucy broke the plate?</em> <br> <br> Is Ken asking whether Lucy broke the plate?,50,NA,0314903f-827c-4635-8656-bef690dba21c,2024-07-19 15:12:01 CEST
23487,"{""P0_Q0"":null,""age"":""41"",""gender"":""female"",""language"":""yes"",""amE"":""yes"",""comments"":""N/A""}",survey,12,222116,0.0-3.0,NA,NA,NA,[],0314903f-827c-4635-8656-bef690dba21c,2024-07-19 15:12:01 CEST
6873,"{""Q0"":""Linda""}",survey-text,0,6878,0.0-0.0-0.0,TRUE,NA,NA,NA,bd824dbb-681c-4e53-a52a-27ab565c18ba,2024-07-19 15:15:47 CEST
